id,type,applicableUnit,subject,dct_type,relevantQuantityKind,seeAlso,inScheme,prefLabel,topConceptOf,broader,broaderTransitive,narrower,narrowerTransitive,semanticRelation,definition,note,relevantProperty,maxValue,minValue,operatie,notation,hasTopConcept,altLabel
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/biobedspuiwaterproductie,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/spuiwater,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3,http://qudt.org/vocab/quantitykind/Volume,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Biobedspuiwaterproductie,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/drukvaloverhetsysteem,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/lucht,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,http://qudt.org/vocab/quantitykind/Fugacity|http://qudt.org/vocab/quantitykind/VaporPressure,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0329,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Drukval over het systeem,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/geleidbaarheidvanhetwaswater,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/waswater,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,http://qudt.org/vocab/quantitykind/Conductivity,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0010,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Geleidbaarheid van het waswater,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/spuiwaterproductie,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/spuiwater,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,http://qudt.org/vocab/quantitykind/Volume,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Spuiwaterproductie,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/stalbezetting,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/stal,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Stalbezetting,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/systeemstatus,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/hetelektronischmonitoringssysteem,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,null,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,SysteemStatus,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/waswaterdebiet,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/waswater,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,http://qudt.org/vocab/quantitykind/VolumeFlowRate|http://qudt.org/vocab/quantitykind/VolumePerTime,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Waswaterdebiet over het waspakket,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/waswaterdebietbevloeiing,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/waswater,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3,http://qudt.org/vocab/quantitykind/VolumeFlowRate|http://qudt.org/vocab/quantitykind/VolumePerTime,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Waswaterdebiet van de bevloeiing van het vulmateriaal,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/waswaterdebietvoorbevochtiging,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/waswater,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s3,http://qudt.org/vocab/quantitykind/VolumeFlowRate|http://qudt.org/vocab/quantitykind/VolumePerTime,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Waswaterdebiet van de voorbevochtiging van de ingaande stallucht,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/eigenschap/zuurtegraadwaswater,http://www.w3.org/2004/02/skos/core#Concept|http://www.w3.org/ns/ssn/Property,null,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/medium/waswater,https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s1|https://data.omgeving.vlaanderen.be/id/concept/producten_en_diensten/s2,http://qudt.org/vocab/quantitykind/Acidity|http://qudt.org/vocab/quantitykind/Basicity,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0076,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,Zuurtegraad van het waswater,https://data.omgeving.vlaanderen.be/id/conceptscheme/lzsp,null,null,null,null,null,null,null,null,null,null,null,null,null,null
